,Unnamed: 0,0,1,2,deviation,strategy_prediction
1229,1229,1.1,3.3,1.5,2.9,True
187,187,0.5,2.5,1.9,2.9,True
1076,1076,1.1,1.5,3.3,2.9,True
1110,1110,1.1,1.9,2.9,2.9,True
1161,1161,1.1,2.5,2.3,2.9,True
662,662,0.9,0.5,3.3,2.9,True
1144,1144,1.1,2.3,2.5,2.9,True
1195,1195,1.1,2.9,1.9,2.9,True
12,12,0.5,0.5,2.9,2.9,True
718,718,0.9,1.1,3.7,2.9000000000000004,True
85,85,0.5,1.3,3.1,2.9000000000000004,True
888,888,0.9,3.1,1.7,2.9000000000000004,True
1399,1399,1.3,1.5,3.1,2.9000000000000004,True
1178,1178,1.1,2.7,2.1,2.9000000000000004,True
1212,1212,1.1,3.1,1.7,2.9000000000000004,True
393,393,0.7,1.1,3.5,2.9000000000000004,True
854,854,0.9,2.7,2.1,2.9000000000000004,True
204,204,0.5,2.7,1.7,2.9000000000000004,True
512,512,0.7,2.5,2.1,2.9000000000000004,True
1127,1127,1.1,2.1,2.7,2.9000000000000004,True
803,803,0.9,2.1,2.7,2.9000000000000004,True
1093,1093,1.1,1.7,3.1,2.9000000000000004,True
563,563,0.7,3.1,1.5,2.9000000000000004,True
119,119,0.5,1.7,2.7,2.9000000000000004,True
546,546,0.7,2.9,1.7,2.9000000000000004,True
1365,1365,1.3,1.1,3.5,2.9000000000000004,True
427,427,0.7,1.5,3.1,2.9000000000000004,True
1042,1042,1.1,1.1,3.7,2.9000000000000004,True
337,337,0.7,0.5,3.1,2.9000000000000004,True
1005,1005,1.1,0.7,3.5,2.9000000000000004,True
922,922,0.9,3.5,1.3,2.9000000000000004,True
1059,1059,1.1,1.3,3.5,2.9000000000000004,True
1246,1246,1.1,3.5,1.3,2.9000000000000004,True
478,478,0.7,2.1,2.5,2.9000000000000004,True
1263,1263,1.1,3.7,1.1,2.9000000000000004,True
238,238,0.5,3.1,1.3,2.9000000000000004,True
700,700,0.9,0.9,3.7,2.9000000000000004,True
1024,1024,1.1,0.9,3.7,2.9000000000000004,True
31,31,0.5,0.7,3.1,2.9000000000000004,True
938,938,0.9,3.7,0.9,2.9000000000000004,True
939,939,0.9,3.7,1.1,2.9000000000000004,True
461,461,0.7,1.9,2.7,2.9000000000000004,True
13,13,0.5,0.5,3.1,3.1,True
1400,1400,1.3,1.5,3.3,3.1,True
1671,1671,1.5,0.9,3.5,3.1,True
357,357,0.7,0.7,3.5,3.1,True
719,719,0.9,1.1,3.9,3.1,True
682,682,0.9,0.7,3.7,3.1,True
1689,1689,1.5,1.1,3.5,3.1,True
1383,1383,1.3,1.3,3.5,3.1,True
462,462,0.7,1.9,2.9,3.1,True
547,547,0.7,2.9,1.9,3.1,True
338,338,0.7,0.5,3.3,3.1,True
663,663,0.9,0.5,3.5,3.1,True
428,428,0.7,1.5,3.3,3.1,True
513,513,0.7,2.5,2.3,3.1,True
701,701,0.9,0.9,3.9,3.1,True
496,496,0.7,2.3,2.5,3.1,True
86,86,0.5,1.3,3.3,3.1,True
411,411,0.7,1.3,3.5,3.1,True
598,598,0.7,3.5,1.3,3.1,True
32,32,0.5,0.7,3.3,3.1,True
69,69,0.5,1.1,3.5,3.1,True
120,120,0.5,1.7,2.9,3.1,True
1706,1706,1.5,1.3,3.3,3.1,True
51,51,0.5,0.9,3.5,3.1,True
103,103,0.5,1.5,3.1,3.1,True
581,581,0.7,3.3,1.5,3.1,True
1434,1434,1.3,1.9,2.9,3.1,True
376,376,0.7,0.9,3.7,3.1,True
614,614,0.7,3.7,0.9,3.1,True
1417,1417,1.3,1.7,3.1,3.1,True
445,445,0.7,1.7,3.1,3.1,True
615,615,0.7,3.7,1.1,3.1,True
1196,1196,1.1,2.9,2.1,3.1,True
530,530,0.7,2.7,2.1,3.1,True
1329,1329,1.3,0.7,3.5,3.1,True
906,906,0.9,3.3,1.7,3.1,True
1111,1111,1.1,1.9,3.1,3.1,True
222,222,0.5,2.9,1.7,3.1,True
923,923,0.9,3.5,1.5,3.1,True
188,188,0.5,2.5,2.1,3.1,True
273,273,0.5,3.5,1.1,3.1,True
272,272,0.5,3.5,0.9,3.1,True
956,956,0.9,3.9,0.9,3.1,True
957,957,0.9,3.9,1.1,3.1,True
889,889,0.9,3.1,1.9,3.1,True
1094,1094,1.1,1.7,3.3,3.1,True
987,987,1.1,0.5,3.5,3.1,True
1077,1077,1.1,1.5,3.5,3.1,True
1230,1230,1.1,3.3,1.7,3.1,True
256,256,0.5,3.3,1.3,3.1,True
1025,1025,1.1,0.9,3.9,3.1,True
171,171,0.5,2.3,2.3,3.1,True
1281,1281,1.1,3.9,1.1,3.1,True
1280,1280,1.1,3.9,0.9,3.1,True
1043,1043,1.1,1.1,3.9,3.1,True
1247,1247,1.1,3.5,1.5,3.1,True
736,736,0.9,1.3,3.7,3.1,True
1213,1213,1.1,3.1,1.9,3.1,True
239,239,0.5,3.1,1.5,3.1,True
154,154,0.5,2.1,2.5,3.1,True
205,205,0.5,2.7,1.9,3.1,True
787,787,0.9,1.9,3.1,3.1,True
804,804,0.9,2.1,2.9,3.1,True
1128,1128,1.1,2.1,2.9,3.1,True
821,821,0.9,2.3,2.7,3.1,True
1179,1179,1.1,2.7,2.3,3.1,True
753,753,0.9,1.5,3.5,3.1,True
1162,1162,1.1,2.5,2.5,3.1,True
1145,1145,1.1,2.3,2.7,3.1,True
770,770,0.9,1.7,3.3,3.1,True
137,137,0.5,1.9,2.7,3.1,True
838,838,0.9,2.5,2.5,3.1,True
1348,1348,1.3,0.9,3.7,3.1,True
855,855,0.9,2.7,2.3,3.1,True
872,872,0.9,2.9,2.1,3.1,True
1264,1264,1.1,3.7,1.3,3.1000000000000005,True
479,479,0.7,2.1,2.7,3.1000000000000005,True
1060,1060,1.1,1.3,3.7,3.1000000000000005,True
394,394,0.7,1.1,3.7,3.1000000000000005,True
1006,1006,1.1,0.7,3.7,3.1000000000000005,True
1451,1451,1.3,2.1,2.7,3.1000000000000005,True
1366,1366,1.3,1.1,3.7,3.1000000000000005,True
564,564,0.7,3.1,1.7,3.1000000000000005,True
940,940,0.9,3.7,1.3,3.1000000000000005,True
531,531,0.7,2.7,2.3,3.3,True
1707,1707,1.5,1.3,3.5,3.3,True
613,613,0.7,3.7,0.7,3.3,True
1146,1146,1.1,2.3,2.9,3.3,True
1741,1741,1.5,1.7,3.1,3.3,True
599,599,0.7,3.5,1.5,3.3,True
1095,1095,1.1,1.7,3.5,3.3,True
1724,1724,1.5,1.5,3.3,3.3,True
582,582,0.7,3.3,1.7,3.3,True
1061,1061,1.1,1.3,3.9,3.3,True
1112,1112,1.1,1.9,3.3,3.3,True
737,737,0.9,1.3,3.9,3.3,True
1248,1248,1.1,3.5,1.7,3.3,True
1401,1401,1.3,1.5,3.5,3.3,True
1367,1367,1.3,1.1,3.9,3.3,True
1197,1197,1.1,2.9,2.3,3.3,True
771,771,0.9,1.7,3.5,3.3,True
788,788,0.9,1.9,3.3,3.3,True
822,822,0.9,2.3,2.9,3.3,True
1418,1418,1.3,1.7,3.3,3.3,True
1349,1349,1.3,0.9,3.9,3.3,True
1435,1435,1.3,1.9,3.1,3.3,True
1452,1452,1.3,2.1,2.9,3.3,True
1469,1469,1.3,2.3,2.7,3.3,True
616,616,0.7,3.7,1.3,3.3,True
873,873,0.9,2.9,2.3,3.3,True
1486,1486,1.3,2.5,2.5,3.3,True
1503,1503,1.3,2.7,2.3,3.3,True
1311,1311,1.3,0.5,3.5,3.3,True
924,924,0.9,3.5,1.7,3.3,True
955,955,0.9,3.9,0.7,3.3,True
1554,1554,1.3,3.3,1.7,3.3,True
1571,1571,1.3,3.5,1.5,3.3,True
683,683,0.9,0.7,3.9,3.3,True
1588,1588,1.3,3.7,1.3,3.3,True
1007,1007,1.1,0.7,3.9,3.3,True
1282,1282,1.1,3.9,1.3,3.3,True
907,907,0.9,3.3,1.9,3.3,True
958,958,0.9,3.9,1.3,3.3,True
1231,1231,1.1,3.3,1.9,3.3,True
497,497,0.7,2.3,2.7,3.3,True
514,514,0.7,2.5,2.5,3.3,True
87,87,0.5,1.3,3.5,3.3,True
172,172,0.5,2.3,2.5,3.3,True
14,14,0.5,0.5,3.3,3.3,True
189,189,0.5,2.5,2.3,3.3,True
257,257,0.5,3.3,1.5,3.3,True
33,33,0.5,0.7,3.5,3.3,True
240,240,0.5,3.1,1.7,3.3,True
223,223,0.5,2.9,1.9,3.3,True
339,339,0.7,0.5,3.5,3.3,True
377,377,0.7,0.9,3.9,3.3,True
395,395,0.7,1.1,3.9,3.3,True
429,429,0.7,1.5,3.5,3.3,True
480,480,0.7,2.1,2.9,3.3,True
446,446,0.7,1.7,3.3,3.3,True
104,104,0.5,1.5,3.3,3.3,True
121,121,0.5,1.7,3.1,3.3,True
463,463,0.7,1.9,3.1,3.3,True
274,274,0.5,3.5,1.3,3.3,True
138,138,0.5,1.9,2.9,3.3,True
271,271,0.5,3.5,0.7,3.3,True
1330,1330,1.3,0.7,3.7,3.3000000000000003,True
988,988,1.1,0.5,3.7,3.3000000000000003,True
633,633,0.7,3.9,1.1,3.3000000000000003,True
548,548,0.7,2.9,2.1,3.3000000000000003,True
70,70,0.5,1.1,3.7,3.3000000000000003,True
632,632,0.7,3.9,0.9,3.3000000000000003,True
856,856,0.9,2.7,2.5,3.3000000000000003,True
52,52,0.5,0.9,3.7,3.3000000000000003,True
290,290,0.5,3.7,0.9,3.3000000000000003,True
754,754,0.9,1.5,3.7,3.3000000000000003,True
839,839,0.9,2.5,2.7,3.3000000000000003,True
1520,1520,1.3,2.9,2.1,3.3000000000000003,True
1180,1180,1.1,2.7,2.5,3.3000000000000003,True
1537,1537,1.3,3.1,1.9,3.3000000000000003,True
1690,1690,1.5,1.1,3.7,3.3000000000000003,True
1129,1129,1.1,2.1,3.1,3.3000000000000003,True
805,805,0.9,2.1,3.1,3.3000000000000003,True
1265,1265,1.1,3.7,1.5,3.3000000000000003,True
1078,1078,1.1,1.5,3.7,3.3000000000000003,True
291,291,0.5,3.7,1.1,3.3000000000000003,True
1672,1672,1.5,0.9,3.7,3.3000000000000003,True
1163,1163,1.1,2.5,2.7,3.3000000000000003,True
