,Unnamed: 0,0,1,2,deviation,strategy_prediction
140,140,0.5,1.9,3.3,3.7,True
141,141,0.5,1.9,3.5,3.9,True
142,142,0.5,1.9,3.7,4.1,True
143,143,0.5,1.9,3.9,4.3,True
144,144,0.5,2.1,0.5,2.1,True
145,145,0.5,2.1,0.7,1.9,True
146,146,0.5,2.1,0.9,1.7000000000000002,True
147,147,0.5,2.1,1.1,1.7000000000000002,True
148,148,0.5,2.1,1.3,1.9,True
149,149,0.5,2.1,1.5,2.1,True
150,150,0.5,2.1,1.7,2.3,True
151,151,0.5,2.1,1.9,2.5,True
152,152,0.5,2.1,2.1,2.7,True
153,153,0.5,2.1,2.3,2.9,True
154,154,0.5,2.1,2.5,3.1,True
155,155,0.5,2.1,2.7,3.3000000000000003,True
156,156,0.5,2.1,2.9,3.5,True
157,157,0.5,2.1,3.1,3.7,True
158,158,0.5,2.1,3.3,3.9,True
159,159,0.5,2.1,3.5,4.1,True
160,160,0.5,2.1,3.7,4.300000000000002,True
161,161,0.5,2.1,3.9,4.5,True
162,162,0.5,2.3,0.5,2.3,True
163,163,0.5,2.3,0.7,2.1,True
164,164,0.5,2.3,0.9,1.9,True
165,165,0.5,2.3,1.1,1.9,True
166,166,0.5,2.3,1.3,2.1,True
167,167,0.5,2.3,1.5,2.3,True
168,168,0.5,2.3,1.7,2.5,True
169,169,0.5,2.3,1.9,2.7,True
170,170,0.5,2.3,2.1,2.9,True
171,171,0.5,2.3,2.3,3.1,True
172,172,0.5,2.3,2.5,3.3,True
173,173,0.5,2.3,2.7,3.5,True
174,174,0.5,2.3,2.9,3.7,True
175,175,0.5,2.3,3.1,3.9,True
176,176,0.5,2.3,3.3,4.1,True
177,177,0.5,2.3,3.5,4.3,True
178,178,0.5,2.3,3.7,4.5,True
179,179,0.5,2.3,3.9,4.699999999999998,True
180,180,0.5,2.5,0.5,2.5,True
181,181,0.5,2.5,0.7,2.3,True
182,182,0.5,2.5,0.9,2.1,True
183,183,0.5,2.5,1.1,2.1,True
184,184,0.5,2.5,1.3,2.3,True
185,185,0.5,2.5,1.5,2.5,True
186,186,0.5,2.5,1.7,2.7,True
